,Title,Acronym,Source,Rank,Note,DBLP,Primary FoR,Comments,Average Rating
34,European Conference on Modelling Foundations and Applications,ECMFA,CORE2023,Unranked,none,ecmdafa,4612.0,0,
33,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database (PKDD and ECML combined from 2008),ECML PKDD,CORE2023,A,none,pkdd,4611.0,1,5.0
37,European Conference on Object-Oriented Programming,ECOOP,CORE2023,A,none,ecoop,4612.0,0,
41,European Conference on Software Architecture,ECSA,CORE2023,A,none,ecsa,4612.0,0,
23,European Conference on Computer Supported Cooperative Work,ECSCW,CORE2023,B,none,ecscw,4608.0,0,
43,European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty,ECSQARU,CORE2023,C,none,ecsqaru,4602.0,0,
28,Extending Database Technology,EDBT,CORE2023,A,none,edbt,4605.0,0,
47,European Dependable Computing Conference,EDCC,CORE2023,Unranked,none,edcc,4604.0,0,
36,Educational Data Mining,EDM,CORE2023,B,none,edm,4601.0,2,4.5
40,IEEE International Enterprise Distributed Object Computing Conference,EDOC,CORE2023,B,none,edoc,4606.0,0,
44,Engineering Interactive Computing Systems,EICS,CORE2023,Unranked,none,eics,4608.0,3,5.0
22,European-Japanese Conference on Information Modelling and Knowledge Bases,EJC,CORE2023,C,none,ejc,4605.0,0,
31,International Conference on Knowledge Engineering and Knowledge Management,EKAW,CORE2023,B,none,ekaw,4605.0,3,4.3
37,"EMAS (merger of DALT, AOSE and PROMAS)",EMAS,CORE2023,B,none,emas,4602.0,0,
39,Empirical Methods in Natural Language Processing,EMNLP,CORE2023,A*,none,emnlp,4602.0,2,5.0
20,ACM Conference on Embedded Software,EMSOFT,CORE2023,Unranked,none,emsoft,4606.0,0,
28,International Conference on Evaluation of Novel Approaches to Software Engineering,ENASE,CORE2023,B,none,enase,4612.0,0,
30,International Conference on Information and Communication Technologies in Tourism,ENTER,CORE2023,C,none,enter,4601.0,0,
33,Portuguese Conference on Artificial Intelligence,EPIA,CORE2023,National,none,epia,4602.0,0,
18,International Conference on Conceptual Modelling,ER,CORE2023,A,none,er,4605.0,0,
10,European Symposium on Algorithms,ESA,CORE2023,A,none,esa,4613.0,1,5.0
11,European Symposium on Artificial Neural Networks,ESANN,CORE2023,B,none,esann,4611.0,0,
8,"European Software Engineering Conference and the ACM SIGSOFT Symposium on the Foundations of Software Engineering (duplicate was listed as ESEC, removed from DB)",ESEC/FSE,CORE2023,A*,none,esec,4612.0,6,5.0
44,International Symposium on Empirical Software Engineering and Measurement,ESEM,CORE2023,A,none,esem,4612.0,1,5.0
13,European Symposium on Programming,ESOP,CORE2023,A,none,esop,4612.0,1,4.0
14,European Symposium On Research In Computer Security,ESORICS,CORE2023,A,none,esorics,4604.0,0,
30,Eye Tracking Research and Applications,ETRA,CORE2023,B,none,etra,4608.0,0,
3,IEEE/IFIP International Conference on Embedded and Ubiquitous Computing,EUC,CORE2023,C,none,euc,4606.0,0,
35,European Conference on Multi-Agent Systems,EUMAS,CORE2023,C,none,eumas,4602.0,1,3.0
27,European Conference on Genetic Programming,EUROGP,CORE2023,B,none,eurogp,4602.0,0,
26,Conference of the European Society for Fuzzy Logic and Technologies,EUSFLAT,CORE2023,C,none,eusflat,4602.0,0,
6,European Signal Processing Conference,EUSIPCO,CORE2018,B,none,eusipco,1006.0,0,
15,International Conference on Emerging Ubiquitous Systems and Pervasive Networks,EUSPN,CORE2023,Unranked,none,euspn,4606.0,0,
14,International Conference on Embedded Wireless Systems and Networks (wasEuropean Conference on Wireless Sensor Networks),EWSN,CORE2023,B,none,ewsn,4606.0,7,4.7
3,Euro Virtual Reality,Euro VR,CORE2023,C,none,eurovr,4607.0,0,
42,International Conference on the Theory and Application of Cryptographic Techniques,EuroCrypt,CORE2023,A*,none,eurocrypt,4604.0,0,
3,European MPI Users' Group Conference,EuroMPI,CORE2023,C,none,pvm,4606.0,0,
39,European Conference on Pattern Languages of Programs,EuroPLop,CORE2023,National,none,europlop,4612.0,5,5.0
3,International European Conference on Parallel and Distributed Computing (was International Conference on Parallel Processing),EuroPar,CORE2023,B,none,europar,4606.0,1,5.0
2,IEEE European Symposium on Security and Privacy,EuroS&P,CORE2023,Unranked,none,eurosp,4604.0,1,5.0
9,European SPI,EuroSPI,CORE2023,B,none,eurospi,4612.0,32,5.0
24,Eurosys Conference,EuroSys,CORE2023,A,none,eurosys,4606.0,1,5.0
6,Eurographics/IEEE Symposium on Visualization,EuroVis,CORE2023,B,none,vissym,4607.0,1,5.0
44,International Conference on Applications of Evolutionary Computation,EvoApplications,CORE2023,B,none,evoappl2019.html,4602.0,0,
26,European Conference on Evolutionary Computation in Combinatorial Optimisation,EvoCOP,CORE2023,B,none,evocop2019.html,4602.0,0,
6,Fundamental Approaches to Software Engineering,FASE,CORE2023,B,none,fase,4612.0,0,
41,Conference on File and Storage Technologies,FAST,CORE2023,A,none,fast,4605.0,0,
10,International Frontiers of Algorithmics Workshop,FAW,CORE2023,National,none,faw,4613.0,0,
33,Financial Cryptography and Data Security Conference,FC,CORE2023,A,none,fc,4604.0,1,5.0
