,Title,Acronym,Source,Rank,Note,DBLP,Primary FoR,Comments,Average Rating
47,International Conference on Advanced Information Systems Engineering,CaiSE,CORE2021,A,none,caise,4605,2,4.5
48,"Computer Animation, Information Visualisation, and Digital Effects",CAivDE,CORE2021,C,none,,4607,0,
49,Conference on Algebra and Coalgebra in Computer Science,CALCO,CORE2021,B,none,calco,4613,0,
0,International Conference on Cryptology and Network Security,CANS,CORE2021,B,none,cans,4604,0,
1,Smart Card Research and Advanced Application Conference,CARDIS,CORE2021,B,none,cardis,4604,1,4.0
2,Computer Algebra in Scientific Computing,CASC,CORE2021,B,none,casc,4613,0,
3,"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",CASES,CORE2021,B,none,cases,4606,0,
4,International Conference on Computers and their Applications,CATA,CORE2021,National: USA,none,cata,4601,0,
5,Computer Aided Verification,CAV,CORE2021,A*,none,cav,4612,0,
6,International Conference on Compiler Construction,CC,CORE2021,B,none,cc,4606,0,
7,International Conference on Computability and Complexity in Analysis,CCA,CORE2021,C,none,,4613,0,
8,IEEE Conference on Computational Complexity,CCC,CORE2021,A,none,coco,4613,0,
9,IEEE International Conference on Cloud Computing in Emerging Markets,CCEM,CORE2021,National:India,none,,4606,0,
10,"IEEE International Symposium on Cluster, Cloud and Grid Computing",CCGRID,CORE2021,A,none,ccgrid,4606,0,
11,ACM Conference on Computer and Communications Security,CCS,CORE2021,A*,none,ccs,4604,0,
12,International Cross-Domain Conference for Machine Learning and Knowledge Extraction,CD-MAKE,CORE2021,C,none,cdmake,4602,0,
13,"Cooperative Design, Visualization, and Engineering",CDVE,CORE2021,C,none,cdve,4608,0,
14,IEEE Congress on Evolutionary Computation,CEC,CORE2021,B,none,cec,4602,4,4.5
15,Information Security Symposium,CERIAS,CORE2021,National: USA,none,,4604,0,
16,Computer Graphics International,CGI,CORE2021,B,none,cgi,4607,0,
17,International Symposium on Code Generation and Optimization,CGO,CORE2021,A,none,cgo,4612,0,
